index,slack_ns,requirement_ns,datapath_delay_ns,logic_levels,startpoint_pin,endpoint_pin,path_group
11229,-0.173,5.000,5.087,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[2043]/D","setup"
11230,-0.171,5.000,4.612,0,"student_top_inst/cpu_rst_sync_reg/C","student_top_inst/Core_cpu/u_core_top/scoreboard_q_reg[7][pc][27]/R","setup"
11231,-0.171,5.000,4.612,0,"student_top_inst/cpu_rst_sync_reg/C","student_top_inst/Core_cpu/u_core_top/scoreboard_q_reg[7][pc][28]/R","setup"
11232,-0.170,5.000,5.005,4,"student_top_inst/Core_cpu/u_core_top/u_dcache/tag_q_reg/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/u_dcache/req_addr_q_reg[12]_rep__9/D","setup"
11233,-0.170,5.000,4.790,1,"student_top_inst/cpu_rst_sync_reg/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/ras_q_reg[0][25]/CE","setup"
11234,-0.170,5.000,4.790,1,"student_top_inst/cpu_rst_sync_reg/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/ras_q_reg[0][29]/CE","setup"
11235,-0.170,5.000,4.609,7,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/ras_q_reg[1][15]/CE","setup"
11236,-0.170,5.000,4.609,7,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/ras_q_reg[1][17]/CE","setup"
11237,-0.170,5.000,4.609,7,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/ras_q_reg[1][19]/CE","setup"
11238,-0.170,5.000,4.609,7,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/ras_q_reg[1][31]/CE","setup"
11239,-0.170,5.000,4.920,5,"student_top_inst/Core_cpu/u_core_top/u_dcache/tag_q_reg/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/u_dcache/lookup_index_q_reg[10]/D","setup"
11240,-0.170,5.000,5.077,5,"student_top_inst/Core_cpu/u_core_top/u_frontend/fetch_pc_q_reg[2]/C","student_top_inst/Core_cpu/u_core_top/u_frontend/pending_pred_next_q_reg[4]/D","setup"
11241,-0.169,5.000,4.523,7,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_csr/mcause_q_reg[23]/R","setup"
11242,-0.169,5.000,4.523,7,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_csr/mcause_q_reg[26]/R","setup"
11243,-0.169,5.000,4.523,7,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_csr/mcause_q_reg[27]/R","setup"
11244,-0.168,5.000,4.675,8,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_muldiv/b_q_reg[20]/CE","setup"
11245,-0.168,5.000,4.675,8,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_muldiv/b_q_reg[27]/CE","setup"
11246,-0.168,5.000,5.113,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[1428]/D","setup"
11247,-0.167,5.000,5.023,2,"student_top_inst/Core_cpu/u_core_top/u_dcache/req_addr_q_reg[5]/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[919]/D","setup"
11248,-0.166,5.000,4.903,8,"student_top_inst/Core_cpu/u_core_top/exec_q_reg[op2][3]/C","student_top_inst/Core_cpu/u_core_top/u_muldiv/u_div/U0/i_synth/i_has_input_skid.i_2to1/gen_has_z_tready.reg2_b_tdata_reg[19]/D","setup"
11249,-0.166,5.000,4.808,7,"student_top_inst/Core_cpu/u_core_top/exec_q_reg[op2][3]/C","student_top_inst/Core_cpu/u_core_top/u_muldiv/u_div/U0/i_synth/i_has_input_skid.i_2to1/gen_has_z_tready.reg1_b_tdata_reg[18]/D","setup"
11250,-0.165,5.000,5.088,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[1147]/D","setup"
11251,-0.165,5.000,5.111,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[1429]/D","setup"
11252,-0.163,5.000,4.787,1,"student_top_inst/cpu_rst_sync_reg/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/ras_q_reg[3][1]/CE","setup"
11253,-0.163,5.000,4.787,1,"student_top_inst/cpu_rst_sync_reg/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/ras_q_reg[3][3]/CE","setup"
11254,-0.163,5.000,4.787,1,"student_top_inst/cpu_rst_sync_reg/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/ras_q_reg[3][5]/CE","setup"
11255,-0.163,5.000,4.787,1,"student_top_inst/cpu_rst_sync_reg/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/ras_q_reg[3][6]/CE","setup"
11256,-0.163,5.000,4.787,1,"student_top_inst/cpu_rst_sync_reg/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/ras_q_reg[3][7]/CE","setup"
11257,-0.162,5.000,5.082,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[509]/D","setup"
11258,-0.162,5.000,5.166,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[1369]/D","setup"
11259,-0.161,5.000,4.604,7,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/ras_q_reg[7][5]/CE","setup"
11260,-0.160,5.000,5.166,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[1374]/D","setup"
11261,-0.157,5.000,4.923,5,"student_top_inst/mem_bridge/dram_adapter/dram/U0/inst_blk_mem_gen/gnbram.gnativebmg.native_blk_mem_gen/valid.cstr/ramloop[55].ram.r/prim_init.ram/DEVICE_7SERIES.NO_BMM_INFO.SP.SIMPLE_PRIM36.ram/CLKARDCLK","student_top_inst/Core_cpu/u_core_top/u_dcache/resp_data_q_reg[19]/D","setup"
11262,-0.157,5.000,5.173,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[1135]/D","setup"
11263,-0.156,5.000,5.103,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[2038]/D","setup"
11264,-0.155,5.000,5.073,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[499]/D","setup"
